team,conference,division
Toronto Raptors,East,Atlantic
Portland Trail Blazers,West,Northwest
LA Clippers,West,Pacific
New York Knicks,East,Atlantic
Los Angeles Lakers,West,Pacific
Washington Wizards,East,Southeast
Dallas Mavericks,West,Southwest
Atlanta Hawks,East,Southeast
New Orleans Pelicans,West,Southwest
Sacramento Kings,West,Pacific
Charlotte Hornets,East,Southeast
Utah Jazz,West,Northwest
Chicago Bulls,East,Central
Denver Nuggets,West,Northwest
Orlando Magic,East,Southeast
Phoenix Suns,West,Pacific
Milwaukee Bucks,East,Central
Boston Celtics,East,Atlantic
Houston Rockets,West,Southwest
Minnesota Timberwolves,West,Northwest
Brooklyn Nets,East,Atlantic
Oklahoma City Thunder,West,Northwest
Miami Heat,East,Southeast
Memphis Grizzlies,West,Southwest
Cleveland Cavaliers,East,Central
Detroit Pistons,East,Central
Golden State Warriors,West,Pacific
San Antonio Spurs,West,Southwest
Indiana Pacers,East,Central
Philadelphia 76ers,East,Atlantic
